local_order_id,request_sequence,side,action,order_price,quantity,price_tick,has_accepted_lag_id,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,ack_rtt_ns,send_to_finish_us,ack_to_finish_us,send_to_finish_start_state_found,send_to_finish_start_state_id,send_to_finish_start_state_local_ns,send_to_finish_start_state_age_ns,send_to_finish_start_state_any,send_to_finish_start_state_full,send_to_finish_start_state_contra_price,send_to_finish_start_state_contra_volume,send_to_finish_records,send_to_finish_any_records,send_to_finish_full_records,send_to_finish_first_any_id,send_to_finish_first_any_local_ns,send_to_finish_first_full_id,send_to_finish_first_full_local_ns,send_to_finish_best_contra_price,send_to_finish_best_margin_ticks,send_to_finish_max_marketable_volume,send_to_finish_stateful_any,send_to_finish_stateful_full,send_to_finish_stateful_first_any_source,send_to_finish_stateful_first_full_source,after_ack_to_cancel_records,after_ack_to_cancel_any_records,after_ack_to_cancel_full_records,after_ack_to_cancel_first_any_id,after_ack_to_cancel_first_any_local_ns,after_ack_to_cancel_first_full_id,after_ack_to_cancel_first_full_local_ns,after_ack_to_cancel_best_contra_price,after_ack_to_cancel_best_margin_ticks,after_ack_to_cancel_max_marketable_volume,cancel_point_found,cancel_point_id,cancel_point_local_ns,cancel_point_contra_price,cancel_point_contra_volume,cancel_point_any,cancel_point_full,cancel_point_margin_ticks
288230376151711757,14,kBuy,kOpenLong,0.34196,29,1e-05,true,2251028758,2251028797,2251028877,2251028960,1781863960312110224,1781863960312785739,1781863960316185781,675515,4075.557,3400.042,true,2251028758,1781863960311550700,559524,true,false,0.34192,20,3,0,0,,,,,0.34204,-8,,true,false,start_state,,2,0,0,,,,,0.34236,-40,,true,2251028960,1781863960315791157,0.34236,8,false,false,-40
288230376151711759,16,kSell,kOpenShort,0.34138,29,1e-05,true,2251042844,2251042917,2251042934,2251042934,1781864108136521544,1781864108137196422,1781864108138426185,674878,1904.641,1229.763,true,2251042844,1781864108135653365,868179,true,false,0.34142,28,2,0,0,,,,,0.34091,-47,,true,false,start_state,,1,0,0,,,,,0.34091,-47,,true,2251042934,1781864108138200315,0.34091,8,false,false,-47
288230376151711760,17,kBuy,kOpenLong,0.34108,29,1e-05,true,2251043017,2251043032,2251043084,2251043084,1781864108140024216,1781864108140617396,1781864108142025212,593180,2000.996,1407.816,true,2251043017,1781864108139321750,702466,true,false,0.34104,18,2,0,0,,,,,0.34142,-34,,true,false,start_state,,1,0,0,,,,,0.34143,-35,,true,2251043084,1781864108141274060,0.34143,163,false,false,-35
288230376151711819,76,kBuy,kOpenLong,0.34247,29,1e-05,false,2251178025,2251178025,,2251178368,1781866070159463828,1781866070160003058,1781866070165504578,539230,6040.75,5501.52,true,2251178025,1781866070159451140,12688,true,false,0.34243,17,4,0,0,,,,,0.34267,-20,,true,false,start_state,,4,0,0,,,,,0.34267,-20,,true,2251178368,1781866070165000086,0.34267,21,false,false,-20
288230376151711949,206,kSell,kOpenShort,0.34098,29,1e-05,false,2251643448,2251643448,,2251643587,1781871530097017420,1781871530097661263,1781871530105043636,643843,8026.216,7382.373,true,2251643448,1781871530096628549,388871,true,false,0.34102,17,5,0,0,,,,,0.34074,-24,,true,false,start_state,,5,0,0,,,,,0.34074,-24,,true,2251643587,1781871530103067085,0.34074,51,false,false,-24
288230376151711986,243,kBuy,kOpenLong,0.34371,29,1e-05,true,2251729955,2251729988,2251730043,2251730043,1781872749138510490,1781872749139122414,1781872749140258571,611924,1748.081,1136.157,true,2251729955,1781872749137797497,712993,true,false,0.34367,18,2,0,0,,,,,0.34385,-14,,true,false,start_state,,1,0,0,,,,,0.344,-29,,true,2251730043,1781872749139873758,0.344,1,false,false,-29
288230376151711991,248,kBuy,kOpenLong,0.34507,28,1e-05,true,2251745464,2251745547,2251745661,2251745789,1781872837106495371,1781872837107147029,1781872837109150633,651658,2655.262,2003.604,true,2251745464,1781872837105996971,498400,true,false,0.34503,8,3,0,0,,,,,0.34512,-5.00000000001,,true,false,start_state,,2,0,0,,,,,0.34527,-20,,true,2251745789,1781872837109130851,0.34555,8,false,false,-48
288230376151711992,249,kBuy,kOpenLong,0.34677,28,1e-05,true,2251752418,2251752447,2251752684,2251752684,1781872861876961596,1781872861877526445,1781872861880531048,564849,3569.452,3004.603,true,2251752418,1781872861876249179,712417,true,false,0.34673,8,3,0,0,,,,,0.34699,-22,,true,false,start_state,,2,0,0,,,,,0.34754,-77,,true,2251752684,1781872861879480070,0.348,1,false,false,-123
288230376151711994,251,kBuy,kOpenLong,0.34676,28,1e-05,true,2251782756,2251782756,2251783146,2251783342,1781873076566561069,1781873076567205430,1781873076574939169,644361,8378.1,7733.739,true,2251782756,1781873076566443894,117175,true,false,0.34672,8,7,0,0,,,,,0.34746,-70,,true,false,start_state,,7,0,0,,,,,0.34746,-70,,true,2251783342,1781873076573977302,0.34798,5,false,false,-122
288230376151711997,254,kBuy,kOpenLong,0.35198,28,1e-05,false,2251821288,2251821317,,2251821658,1781873330169007611,1781873330174084101,1781873330187272886,5076490,18265.275,13188.785,true,2251821288,1781873330153793145,15214466,true,false,0.35194,23,7,2,0,2251821317,1781873330170952430,,,0.35194,4,23,true,false,start_state,,6,1,0,2251821328,1781873330174069945,,,0.35194,4,23,true,2251821658,1781873330184859932,0.35269,8,false,false,-71
288230376151711998,255,kSell,kOpenShort,0.35353,28,1e-05,false,2251823367,2251823367,,2251823486,1781873330911521526,1781873330912336150,1781873330915424029,814624,3902.503,3087.879,true,2251823367,1781873330908448170,3073356,true,false,0.35357,20,2,0,0,,,,,0.3532,-33,,true,false,start_state,,2,0,0,,,,,0.3532,-33,,true,2251823486,1781873330914063342,0.35232,8,false,false,-121
288230376151712051,308,kBuy,kOpenLong,0.36465,27,1e-05,true,2252131092,2252131184,2252131264,2252131371,1781874929914241667,1781874929914842077,1781874929919884488,600410,5642.821,5042.411,true,2252131092,1781874929913200260,1041407,true,false,0.36461,8,4,0,0,,,,,0.36511,-46,,true,false,start_state,,3,0,0,,,,,0.36514,-49,,true,2252131371,1781874929918800340,0.36567,8,false,false,-102
288230376151712053,310,kBuy,kOpenLong,0.3677,27,1e-05,true,2252147684,2252147727,2252147899,2252147899,1781874968151828397,1781874968152559042,1781874968154830657,730645,3002.26,2271.615,true,2252147684,1781874968151175751,652646,true,false,0.36766,24,3,0,0,,,,,0.36794,-24,,true,false,start_state,,2,0,0,,,,,0.36863,-93,,true,2252147899,1781874968154137158,0.369,17,false,false,-130
288230376151712054,311,kSell,kOpenShort,0.36483,27,1e-05,true,2252159820,2252159820,2252159962,2252160003,1781874997738585109,1781874997739219962,1781874997741744167,634853,3159.058,2524.205,true,2252159820,1781874997738420757,164352,true,false,0.36487,8,3,0,0,,,,,0.36416,-67,,true,false,start_state,,3,0,0,,,,,0.36416,-67,,true,2252160003,1781874997741579051,0.364,1,false,false,-83
288230376151712055,312,kBuy,kOpenLong,0.35671,28,1e-05,false,2252177325,2252177361,,2252177404,1781875014152025364,1781875014152688844,1781875014154813109,663480,2787.745,2124.265,true,2252177325,1781875014151379211,646153,true,true,0.35667,847,3,1,1,2252177361,1781875014152467914,2252177361,1781875014152467914,0.35667,4,810,true,true,start_state,start_state,2,0,0,,,,,0.35674,-3,,true,2252177404,1781875014154695159,0.35682,563,false,false,-11
288230376151712056,313,kBuy,kOpenLong,0.35488,28,1e-05,false,2252179554,2252179624,,2252179711,1781875015271040328,1781875015271829972,1781875015276737537,789644,5697.209,4907.565,true,2252179624,1781875015271034879,5449,false,false,0.355,267,3,0,0,,,,,0.35501,-13,,false,false,,,3,0,0,,,,,0.35501,-13,,true,2252179711,1781875015274922528,0.35502,1062,false,false,-14
288230376151712057,314,kBuy,kOpenLong,0.35526,28,1e-05,true,2252182910,2252182913,2252182971,2252182971,1781875018733090367,1781875018733673714,1781875018736785366,583347,3694.999,3111.652,true,2252182910,1781875018732066193,1024174,true,false,0.35522,8,3,1,0,2252182913,1781875018733242046,,,0.35522,4,8,true,false,start_state,,2,0,0,,,,,0.35571,-45,,true,2252182971,1781875018735935522,0.35603,8,false,false,-77
288230376151712060,317,kBuy,kOpenLong,0.35231,28,1e-05,true,2252201683,2252201726,2252201726,2252201787,1781875047323518999,1781875047324528194,1781875047326269744,1009195,2750.745,1741.55,true,2252201683,1781875047310660549,12858450,true,true,0.35227,33,2,0,0,,,,,0.35257,-26,,true,true,start_state,start_state,1,0,0,,,,,0.35262,-31,,true,2252201787,1781875047325482639,0.35262,991,false,false,-31
288230376151712062,319,kSell,kOpenShort,0.35518,28,1e-05,true,2252260107,2252260107,2252260168,2252260250,1781875113836028422,1781875113836643581,1781875113837686676,615159,1658.254,1043.095,true,2252260107,1781875113835637172,391250,true,false,0.35522,8,2,0,0,,,,,0.35415,-103,,true,false,start_state,,2,0,0,,,,,0.35415,-103,,true,2252260250,1781875113837639772,0.35375,8,false,false,-143
288230376151712066,323,kSell,kOpenShort,0.35595,28,1e-05,true,2252328857,2252328977,2252329211,2252329211,1781875263957494712,1781875263958194976,1781875263966359999,700264,8865.287,8165.023,true,2252328857,1781875263956559087,935625,true,false,0.35599,8,9,0,0,,,,,0.35543,-52,,true,false,start_state,,8,0,0,,,,,0.35543,-52,,true,2252329211,1781875263965915876,0.35543,24,false,false,-52
288230376151712086,343,kBuy,kOpenLong,0.34494,28,1e-05,true,2252531107,2252531107,2252531166,2252531248,1781875787575404677,1781875787576113899,1781875787579305310,709222,3900.633,3191.411,true,2252531107,1781875787575198920,205757,true,true,0.3449,425,3,0,0,,,,,0.34524,-30,,true,true,start_state,start_state,3,0,0,,,,,0.34524,-30,,true,2252531248,1781875787578289720,0.34529,5,false,false,-35
288230376151712088,345,kBuy,kOpenLong,0.34574,28,1e-05,true,2252536952,2252536952,2252537105,2252537105,1781875824326010337,1781875824326636563,1781875824327977313,626226,1966.976,1340.75,true,2252536952,1781875824324544964,1465373,true,true,0.3457,135,2,0,0,,,,,0.34637,-63,,true,true,start_state,start_state,2,0,0,,,,,0.34637,-63,,true,2252537105,1781875824327638065,0.34651,8,false,false,-77
288230376151712112,369,kSell,kOpenShort,0.34537,28,1e-05,true,2252637937,2252637937,2252638124,2252638124,1781876376545276196,1781876376545853291,1781876376549417537,577095,4141.341,3564.246,true,2252637937,1781876376544864059,412137,true,true,0.34541,2542,4,2,2,2252637950,1781876376545891676,2252637950,1781876376545891676,0.34541,4,1582,true,true,start_state,start_state,4,2,2,2252637950,1781876376545891676,2252637950,1781876376545891676,0.34541,4,1582,true,2252638124,1781876376548916970,0.3447,151,false,false,-67
288230376151712114,371,kBuy,kOpenLong,0.34512,28,1e-05,false,2252717817,2252717817,,2252717926,1781876653357499935,1781876653358604114,1781876653376330482,1104179,18830.547,17726.368,true,2252717817,1781876653355322198,2177737,true,false,0.34508,27,2,0,0,,,,,0.34528,-16,,true,false,start_state,,2,0,0,,,,,0.34528,-16,,true,2252717926,1781876653375829607,0.34559,8,false,false,-47
288230376151712115,372,kBuy,kOpenLong,0.34565,28,1e-05,false,2252717972,2252718004,,2252718140,1781876653377484003,1781876653378579559,1781876653395399649,1095556,17915.646,16820.09,true,2252717972,1781876653376788444,695559,true,false,0.34561,8,7,1,0,2252718004,1781876653377858467,,,0.34561,4,8,true,false,start_state,,6,0,0,,,,,0.3458,-15,,true,2252718140,1781876653391063395,0.34689,8,false,false,-124
288230376151712139,396,kBuy,kOpenLong,0.35194,28,1e-05,false,2252778488,2252778488,,2252778581,1781876898398684491,1781876898399395778,1781876898432648363,711287,33963.872,33252.585,true,2252778488,1781876898394647663,4036828,true,false,0.3519,24,7,0,0,,,,,0.35214,-20,,true,false,start_state,,7,0,0,,,,,0.35214,-20,,true,2252778581,1781876898428192467,0.35235,1,false,false,-41
288230376151712141,398,kSell,kOpenShort,0.34255,29,1e-05,true,2252808187,2252808206,2252808365,2252808365,1781876992057333274,1781876992058149124,1781876992059991226,815850,2657.952,1842.102,true,2252808206,1781876992057327389,5885,true,true,0.34258,1971,2,0,0,,,,,0.34254,-1,,true,true,start_state,start_state,2,0,0,,,,,0.34254,-1,,true,2252808365,1781876992059509468,0.34067,8,false,false,-188
288230376151712142,399,kSell,kOpenShort,0.34249,29,1e-05,true,2252809422,2252809422,2252809422,2252809422,1781876992099027094,1781876992099610730,1781876992101567388,583636,2540.294,1956.658,true,2252809422,1781876992098266530,760564,true,false,0.34253,9,0,0,0,,,,,,,,true,false,start_state,,0,0,0,,,,,,,,true,2252809422,1781876992098266530,0.34253,9,true,false,4
288230376151712143,400,kSell,kOpenShort,0.34253,29,1e-05,true,2252809498,2252809536,2252809536,2252809547,1781876992103505336,1781876992104157773,1781876992105201546,652437,1696.21,1043.773,true,2252809498,1781876992103077517,427819,true,true,0.34257,533,2,0,0,,,,,0.34197,-56,,true,true,start_state,start_state,1,0,0,,,,,0.34176,-77,,true,2252809547,1781876992105098520,0.34176,6,false,false,-77
288230376151712144,401,kSell,kOpenShort,0.34237,29,1e-05,true,2252813598,2252813611,2252813625,2252813625,1781876994037954444,1781876994038587885,1781876994040011359,633441,2056.915,1423.474,true,2252813598,1781876994037151046,803398,true,false,0.34241,8,2,0,0,,,,,0.34208,-29,,true,false,start_state,,1,0,0,,,,,0.34175,-62,,true,2252813625,1781876994039204524,0.34175,59,false,false,-62
288230376151712152,409,kBuy,kOpenLong,0.34267,29,1e-05,true,2252851590,2252851590,2252851720,2252851720,1781877266445234730,1781877266445901296,1781877266626985729,666566,181750.999,181084.433,true,2252851590,1781877266441123322,4111408,true,true,0.34263,186,21,16,16,2252851591,1781877266468769836,2252851591,1781877266468769836,0.34263,3.99999999999,5837,true,true,start_state,start_state,21,16,16,2252851591,1781877266468769836,2252851591,1781877266468769836,0.34263,3.99999999999,5837,true,2252851720,1781877266616257152,0.34269,2735,false,false,-2.00000000001
288230376151712176,433,kBuy,kOpenLong,0.34592,28,1e-05,true,2252905550,2252905551,2252905569,2252905569,1781877405912491965,1781877405913161625,1781877405914426327,669660,1934.362,1264.702,true,2252905550,1781877405911266040,1225925,true,true,0.34588,160,2,2,1,2252905551,1781877405912723152,2252905551,1781877405912723152,0.34588,4,148,true,true,start_state,start_state,1,1,0,2252905569,1781877405913749535,,,0.34588,4,20,true,2252905569,1781877405913749535,0.34588,20,true,false,4
288230376151712187,444,kSell,kOpenShort,0.35555,28,1e-05,true,2253196650,2253196690,2253196690,2253196690,1781877903764529300,1781877903765272340,1781877903766379912,743040,1850.612,1107.572,true,2253196650,1781877903763464397,1064903,true,false,0.35559,3,1,0,0,,,,,0.35541,-14,,true,false,start_state,,0,0,0,,,,,,,,true,2253196690,1781877903764560711,0.35541,8,false,false,-14
288230376151712208,465,kSell,kOpenShort,0.34683,28,1e-05,true,2253409671,2253409690,2253409729,2253409729,1781878671196568787,1781878671197262860,1781878671198349990,694073,1781.203,1087.13,true,2253409671,1781878671196097040,471747,true,false,0.34687,8,2,0,0,,,,,0.34672,-11,,true,false,start_state,,1,0,0,,,,,0.34646,-37,,true,2253409729,1781878671198070041,0.34646,152,false,false,-37
288230376151712212,469,kSell,kOpenShort,0.35261,28,1e-05,false,2253427934,2253427934,,2253428069,1781878719522759536,1781878719523475897,1781878719536171473,716361,13411.937,12695.576,true,2253427934,1781878719522703478,56058,true,true,0.35265,41,5,2,1,2253427942,1781878719524789369,2253427942,1781878719524789369,0.35265,4,41,true,true,start_state,start_state,5,2,1,2253427942,1781878719524789369,2253427942,1781878719524789369,0.35265,4,41,true,2253428069,1781878719535017381,0.35214,25,false,false,-47
288230376151712220,477,kSell,kOpenShort,0.35443,28,1e-05,true,2253510610,2253510615,2253510729,2253510729,1781879012234498631,1781879012235165564,1781879012243709601,666933,9210.97,8544.037,true,2253510610,1781879012231554546,2944085,true,false,0.35447,16,7,2,0,2253510615,1781879012234913377,,,0.35447,4,16,true,false,start_state,,6,1,0,2253510627,1781879012235865263,,,0.35447,4,16,true,2253510729,1781879012243072409,0.3538,21,false,false,-63
288230376151712226,483,kSell,kOpenShort,0.35484,28,1e-05,false,2253526197,2253526221,,2253526255,1781879098449008025,1781879098450422452,1781879098451424325,1414427,2416.3,1001.873,true,2253526197,1781879098448766136,241889,true,false,0.35488,11,2,0,0,,,,,0.3547,-14,,true,false,start_state,,1,0,0,,,,,0.3541,-74,,true,2253526255,1781879098450954731,0.3541,8,false,false,-74
288230376151712227,484,kBuy,kOpenLong,0.35531,28,1e-05,false,2253528353,2253528353,,2253528353,1781879102481483092,1781879102482061353,1781879102484039366,578261,2556.274,1978.013,true,2253528353,1781879102480541826,941266,true,true,0.35527,225,0,0,0,,,,,,,,true,true,start_state,start_state,0,0,0,,,,,,,,true,2253528353,1781879102480541826,0.35527,225,true,true,4
288230376151712228,485,kBuy,kOpenLong,0.35531,28,1e-05,true,2253528353,2253528387,2253528491,2253528491,1781879102486106883,1781879102486727668,1781879102489132915,620785,3026.032,2405.247,true,2253528353,1781879102480541826,5565057,true,true,0.35527,225,3,0,0,,,,,0.3558,-49,,true,true,start_state,start_state,2,0,0,,,,,0.3558,-49,,true,2253528491,1781879102488525665,0.35587,8,false,false,-56
288230376151712230,487,kBuy,kOpenLong,0.35546,28,1e-05,true,2253537563,2253537563,2253537736,2253537774,1781879153494626943,1781879153495296405,1781879153507735770,669462,13108.827,12439.365,true,2253537563,1781879153494190262,436681,true,false,0.35542,14,6,0,0,,,,,0.35562,-16,,true,false,start_state,,6,0,0,,,,,0.35562,-16,,true,2253537774,1781879153507152635,0.35608,147,false,false,-62
288230376151712243,500,kSell,kOpenShort,0.35382,28,1e-05,true,2253606578,2253606578,2253606589,2253606598,1781879640762965216,1781879640763545670,1781879640764683595,580454,1718.379,1137.925,true,2253606578,1781879640762513478,451738,true,false,0.35386,7,2,0,0,,,,,0.3537,-12,,true,false,start_state,,2,0,0,,,,,0.3537,-12,,true,2253606598,1781879640764656849,0.3537,271,false,false,-12
288230376151712247,504,kBuy,kOpenLong,0.35618,28,1e-05,true,2253631138,2253631140,2253631481,2253631481,1781879857096210443,1781879857096799198,1781879857102282209,588755,6071.766,5483.011,true,2253631138,1781879857095325899,884544,true,false,0.35614,13,6,1,0,2253631140,1781879857096299464,,,0.35614,4,13,true,false,start_state,,5,0,0,,,,,0.35666,-48,,true,2253631481,1781879857101893499,0.35704,14,false,false,-86
288230376151712251,508,kSell,kOpenShort,0.35791,27,1e-05,true,2253678543,2253678562,2253678562,2253678574,1781880145958988210,1781880145959728123,1781880145960930477,739913,1942.267,1202.354,true,2253678543,1781880145958111590,876620,true,true,0.35795,152,2,1,1,2253678562,1781880145959088900,2253678562,1781880145959088900,0.35795,4,111,true,true,start_state,start_state,1,0,0,,,,,0.35785,-5.99999999999,,true,2253678574,1781880145960675227,0.35785,152,false,false,-5.99999999999
288230376151712261,518,kSell,kOpenShort,0.3617,27,1e-05,true,2253787854,2253787948,2253787970,2253787970,1781880848159014514,1781880848163933960,1781880848165326220,4919446,6311.706,1392.26,true,2253787854,1781880848157338382,1676132,true,false,0.36174,4,5,1,1,2253787868,1781880848159318296,2253787868,1781880848159318296,0.36174,4,48,true,true,start_state,update,1,0,0,,,,,0.36116,-54,,true,2253787970,1781880848164771314,0.36116,24,false,false,-54
