run_id,symbol,local_order_id,text_order_id,request_sequence,order_role,action,side,reduce_only,time_in_force,status,finish_reason,raw_price,order_price,price_tick,order_offset_ticks,quantity,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,filled_lag_id,unknown_result_lag_id,terminal_stage,terminal_lag_id,category,signal_found,signal_exchange_ns,signal_local_ns,signal_bid_price,signal_bid_volume,signal_ask_price,signal_ask_volume,signal_contra_price,signal_contra_volume,signal_marketable,signal_margin_ticks,ack_found,ack_exchange_ns,ack_local_ns,ack_bid_price,ack_bid_volume,ack_ask_price,ack_ask_volume,ack_contra_price,ack_contra_volume,ack_marketable,ack_margin_ticks,accepted_found,accepted_exchange_ns,accepted_local_ns,accepted_bid_price,accepted_bid_volume,accepted_ask_price,accepted_ask_volume,accepted_contra_price,accepted_contra_volume,accepted_marketable,accepted_margin_ticks,cancelled_found,cancelled_exchange_ns,cancelled_local_ns,cancelled_bid_price,cancelled_bid_volume,cancelled_ask_price,cancelled_ask_volume,cancelled_contra_price,cancelled_contra_volume,cancelled_marketable,cancelled_margin_ticks,filled_found,filled_exchange_ns,filled_local_ns,filled_bid_price,filled_bid_volume,filled_ask_price,filled_ask_volume,filled_contra_price,filled_contra_volume,filled_marketable,filled_margin_ticks,terminal_found,terminal_exchange_ns,terminal_local_ns,terminal_bid_price,terminal_bid_volume,terminal_ask_price,terminal_ask_volume,terminal_contra_price,terminal_contra_volume,terminal_marketable,terminal_margin_ticks,signal_to_ack_start_id,signal_to_ack_end_id,signal_to_ack_start_exclusive,signal_to_ack_valid,signal_to_ack_records,signal_to_ack_marketable_records,signal_to_ack_first_marketable_id,signal_to_ack_first_marketable_local_ns,signal_to_ack_first_marketable_contra_price,signal_to_ack_last_marketable_id,signal_to_ack_last_marketable_local_ns,signal_to_ack_last_marketable_contra_price,signal_to_ack_best_contra_price,signal_to_ack_best_margin_ticks,signal_to_terminal_start_id,signal_to_terminal_end_id,signal_to_terminal_start_exclusive,signal_to_terminal_valid,signal_to_terminal_records,signal_to_terminal_marketable_records,signal_to_terminal_first_marketable_id,signal_to_terminal_first_marketable_local_ns,signal_to_terminal_first_marketable_contra_price,signal_to_terminal_last_marketable_id,signal_to_terminal_last_marketable_local_ns,signal_to_terminal_last_marketable_contra_price,signal_to_terminal_best_contra_price,signal_to_terminal_best_margin_ticks,ack_to_terminal_start_id,ack_to_terminal_end_id,ack_to_terminal_start_exclusive,ack_to_terminal_valid,ack_to_terminal_records,ack_to_terminal_marketable_records,ack_to_terminal_first_marketable_id,ack_to_terminal_first_marketable_local_ns,ack_to_terminal_first_marketable_contra_price,ack_to_terminal_last_marketable_id,ack_to_terminal_last_marketable_local_ns,ack_to_terminal_last_marketable_contra_price,ack_to_terminal_best_contra_price,ack_to_terminal_best_margin_ticks,after_ack_to_terminal_start_id,after_ack_to_terminal_end_id,after_ack_to_terminal_start_exclusive,after_ack_to_terminal_valid,after_ack_to_terminal_records,after_ack_to_terminal_marketable_records,after_ack_to_terminal_first_marketable_id,after_ack_to_terminal_first_marketable_local_ns,after_ack_to_terminal_first_marketable_contra_price,after_ack_to_terminal_last_marketable_id,after_ack_to_terminal_last_marketable_local_ns,after_ack_to_terminal_last_marketable_contra_price,after_ack_to_terminal_best_contra_price,after_ack_to_terminal_best_margin_ticks,accepted_to_terminal_start_id,accepted_to_terminal_end_id,accepted_to_terminal_start_exclusive,accepted_to_terminal_valid,accepted_to_terminal_records,accepted_to_terminal_marketable_records,accepted_to_terminal_first_marketable_id,accepted_to_terminal_first_marketable_local_ns,accepted_to_terminal_first_marketable_contra_price,accepted_to_terminal_last_marketable_id,accepted_to_terminal_last_marketable_local_ns,accepted_to_terminal_last_marketable_contra_price,accepted_to_terminal_best_contra_price,accepted_to_terminal_best_margin_ticks,after_accepted_to_terminal_start_id,after_accepted_to_terminal_end_id,after_accepted_to_terminal_start_exclusive,after_accepted_to_terminal_valid,after_accepted_to_terminal_records,after_accepted_to_terminal_marketable_records,after_accepted_to_terminal_first_marketable_id,after_accepted_to_terminal_first_marketable_local_ns,after_accepted_to_terminal_first_marketable_contra_price,after_accepted_to_terminal_last_marketable_id,after_accepted_to_terminal_last_marketable_local_ns,after_accepted_to_terminal_last_marketable_contra_price,after_accepted_to_terminal_best_contra_price,after_accepted_to_terminal_best_margin_ticks
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712148,t-288230376151712148,405,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,0.34252,0.34256,1e-05,4,29,29,0,0,1,0.34254,0.34254,1781877146559040064,1781877146559660999,1781877146560971847,2252842332,2252842332,2252842436,,2252842436,,filled,2252842436,marketable_at_terminal_stage,true,1781877146558479000,1781877146558697998,0.3425,42,0.34252,2221,0.34252,2221,true,3.99999999999,true,1781877146558479000,1781877146558697998,0.3425,42,0.34252,2221,0.34252,2221,true,3.99999999999,true,1781877146560560000,1781877146560756308,0.34251,106,0.34254,962,0.34254,962,true,2,false,,,,,,,,,false,,true,1781877146560560000,1781877146560756308,0.34251,106,0.34254,962,0.34254,962,true,2,true,1781877146560560000,1781877146560756308,0.34251,106,0.34254,962,0.34254,962,true,2,2252842332,2252842332,false,true,1,1,2252842332,1781877146558697998,0.34252,2252842332,1781877146558697998,0.34252,0.34252,3.99999999999,2252842332,2252842436,false,true,3,3,2252842332,1781877146558697998,0.34252,2252842436,1781877146560756308,0.34254,0.34252,3.99999999999,2252842332,2252842436,false,true,3,3,2252842332,1781877146558697998,0.34252,2252842436,1781877146560756308,0.34254,0.34252,3.99999999999,2252842332,2252842436,true,true,2,2,2252842395,1781877146559702326,0.34252,2252842436,1781877146560756308,0.34254,0.34252,3.99999999999,2252842436,2252842436,false,true,1,1,2252842436,1781877146560756308,0.34254,2252842436,1781877146560756308,0.34254,0.34254,2,2252842436,2252842436,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712149,t-288230376151712149,406,exit,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,0.34251,0.34247,1e-05,4,29,29,0,0,1,0.34251,0.34251,1781877146561461790,1781877146562092795,1781877146563164729,2252842436,2252842441,2252842461,,2252842461,,filled,2252842461,marketable_at_terminal_stage,true,1781877146560560000,1781877146560756308,0.34251,106,0.34254,962,0.34251,106,true,4,true,1781877146561642000,1781877146561837250,0.34252,34,0.34256,2919,0.34252,34,true,5.00000000001,true,1781877146562651000,1781877146562898192,0.34251,32,0.34256,2783,0.34251,32,true,4,false,,,,,,,,,false,,true,1781877146562651000,1781877146562898192,0.34251,32,0.34256,2783,0.34251,32,true,4,true,1781877146562651000,1781877146562898192,0.34251,32,0.34256,2783,0.34251,32,true,4,2252842436,2252842441,false,true,2,2,2252842436,1781877146560756308,0.34251,2252842441,1781877146561837250,0.34252,0.34252,5.00000000001,2252842436,2252842461,false,true,3,3,2252842436,1781877146560756308,0.34251,2252842461,1781877146562898192,0.34251,0.34252,5.00000000001,2252842441,2252842461,false,true,2,2,2252842441,1781877146561837250,0.34252,2252842461,1781877146562898192,0.34251,0.34252,5.00000000001,2252842441,2252842461,true,true,1,1,2252842461,1781877146562898192,0.34251,2252842461,1781877146562898192,0.34251,0.34251,4,2252842461,2252842461,false,true,1,1,2252842461,1781877146562898192,0.34251,2252842461,1781877146562898192,0.34251,0.34251,4,2252842461,2252842461,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712153,t-288230376151712153,410,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,0.34268,0.34272,1e-05,4,29,29,0,0,1,0.34272,0.34272,1781877282570625380,1781877282571224791,1781877282576760339,2252854935,2252854935,,,2252854964,,filled,2252854964,marketable_at_terminal_stage,true,1781877282570215000,1781877282570407653,0.34267,92,0.34268,99,0.34268,99,true,4,true,1781877282570215000,1781877282570407653,0.34267,92,0.34268,99,0.34268,99,true,4,false,,,,,,,,,false,,false,,,,,,,,,false,,true,1781877282575963000,1781877282576173098,0.34271,64,0.34272,2156,0.34272,2156,true,0,true,1781877282575963000,1781877282576173098,0.34271,64,0.34272,2156,0.34272,2156,true,0,2252854935,2252854935,false,true,1,1,2252854935,1781877282570407653,0.34268,2252854935,1781877282570407653,0.34268,0.34268,4,2252854935,2252854964,false,true,5,5,2252854935,1781877282570407653,0.34268,2252854964,1781877282576173098,0.34272,0.34268,4,2252854935,2252854964,false,true,5,5,2252854935,1781877282570407653,0.34268,2252854964,1781877282576173098,0.34272,0.34268,4,2252854935,2252854964,true,true,4,4,2252854943,1781877282571608428,0.34272,2252854964,1781877282576173098,0.34272,0.34272,0,,2252854964,false,false,0,0,,,,,,,,,,2252854964,true,false,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712154,t-288230376151712154,411,exit,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,0.34274,0.3427,1e-05,4,29,29,0,0,1,0.34271,0.34271,1781877282584589874,1781877282585258546,1781877282587561006,2252855053,2252855053,2252855077,,2252855077,,filled,2252855077,marketable_at_terminal_stage,true,1781877282584238000,1781877282584424887,0.34274,64,0.34275,747,0.34274,64,true,4,true,1781877282584238000,1781877282584424887,0.34274,64,0.34275,747,0.34274,64,true,4,true,1781877282586400000,1781877282586588812,0.34273,8,0.34275,294,0.34273,8,true,3,false,,,,,,,,,false,,true,1781877282586400000,1781877282586588812,0.34273,8,0.34275,294,0.34273,8,true,3,true,1781877282586400000,1781877282586588812,0.34273,8,0.34275,294,0.34273,8,true,3,2252855053,2252855053,false,true,1,1,2252855053,1781877282584424887,0.34274,2252855053,1781877282584424887,0.34274,0.34274,4,2252855053,2252855077,false,true,3,3,2252855053,1781877282584424887,0.34274,2252855077,1781877282586588812,0.34273,0.34274,4,2252855053,2252855077,false,true,3,3,2252855053,1781877282584424887,0.34274,2252855077,1781877282586588812,0.34273,0.34274,4,2252855053,2252855077,true,true,2,2,2252855072,1781877282585524199,0.34273,2252855077,1781877282586588812,0.34273,0.34273,3,2252855077,2252855077,false,true,1,1,2252855077,1781877282586588812,0.34273,2252855077,1781877282586588812,0.34273,0.34273,3,2252855077,2252855077,true,true,0,0,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712156,t-288230376151712156,413,entry,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,0.3427,0.34274,1e-05,4,29,29,0,0,1,0.3427,0.3427,1781877298842487847,1781877298843098943,1781877298847354597,2252857944,2252857957,2252857989,,2252858044,,filled,2252858044,marketable_at_terminal_stage,true,1781877298834211000,1781877298834407979,0.34262,8,0.3427,4415,0.3427,4415,true,4,true,1781877298842810000,1781877298843038018,0.34269,55,0.3427,4131,0.3427,4131,true,4,true,1781877298843896000,1781877298844077789,0.34269,110,0.3427,3936,0.3427,3936,true,4,false,,,,,,,,,false,,true,1781877298846709000,1781877298846896074,0.34269,110,0.3427,1758,0.3427,1758,true,4,true,1781877298846709000,1781877298846896074,0.34269,110,0.3427,1758,0.3427,1758,true,4,2252857944,2252857957,false,true,2,2,2252857944,1781877298834407979,0.3427,2252857957,1781877298843038018,0.3427,0.3427,4,2252857944,2252858044,false,true,5,5,2252857944,1781877298834407979,0.3427,2252858044,1781877298846896074,0.3427,0.3427,4,2252857957,2252858044,false,true,4,4,2252857957,1781877298843038018,0.3427,2252858044,1781877298846896074,0.3427,0.3427,4,2252857957,2252858044,true,true,3,3,2252857989,1781877298844077789,0.3427,2252858044,1781877298846896074,0.3427,0.3427,4,2252857989,2252858044,false,true,3,3,2252857989,1781877298844077789,0.3427,2252858044,1781877298846896074,0.3427,0.3427,4,2252857989,2252858044,true,true,2,2,2252858040,1781877298845905736,0.3427,2252858044,1781877298846896074,0.3427,0.3427,4
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,SKYAI_USDT,288230376151712157,t-288230376151712157,414,exit,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,0.34269,0.34265,1e-05,4,29,29,0,0,1,0.34269,0.34269,1781877298848969088,1781877298849525098,1781877298851684352,2252858093,2252858098,2252858098,,2252858098,,filled,2252858098,marketable_at_terminal_stage,true,1781877298847737000,1781877298847953161,0.34269,8,0.3427,898,0.34269,8,true,4,true,1781877298848796000,1781877298848994369,0.34269,386,0.34275,2918,0.34269,386,true,4,true,1781877298848796000,1781877298848994369,0.34269,386,0.34275,2918,0.34269,386,true,4,false,,,,,,,,,false,,true,1781877298848796000,1781877298848994369,0.34269,386,0.34275,2918,0.34269,386,true,4,true,1781877298848796000,1781877298848994369,0.34269,386,0.34275,2918,0.34269,386,true,4,2252858093,2252858098,false,true,2,2,2252858093,1781877298847953161,0.34269,2252858098,1781877298848994369,0.34269,0.34269,4,2252858093,2252858098,false,true,2,2,2252858093,1781877298847953161,0.34269,2252858098,1781877298848994369,0.34269,0.34269,4,2252858098,2252858098,false,true,1,1,2252858098,1781877298848994369,0.34269,2252858098,1781877298848994369,0.34269,0.34269,4,2252858098,2252858098,true,true,0,0,,,,,,,,,2252858098,2252858098,false,true,1,1,2252858098,1781877298848994369,0.34269,2252858098,1781877298848994369,0.34269,0.34269,4,2252858098,2252858098,true,true,0,0,,,,,,,,
